College English (L & S)Ⅰ＜203＞,寺川　かおり,前期　月曜日　２時限,１年生 ,ALL
College English (L & S)Ⅱ＜203＞,寺川　かおり,後期　月曜日　２時限,１年生 ,ALL
College English (L & S)Ⅱ＜655＞,寺川　かおり,後期　月曜日　１時限,１年生 ,ALL
多読で学ぶ英語と文化Ⅰ＜2＞,桃尾　美佳,前期　火曜日　３時限,２年生 ,ALL
多読で学ぶ英語と文化Ⅰ＜5＞,桃尾　美佳,後期　木曜日　１時限,２年生 ,ALL
映画で学ぶ英語と文化＜3＞,桃尾　美佳,前期　火曜日　１時限,２年生 ,ALL
実践日本語表現＜1＞,土居　奈生子,前期　水曜日　３時限,１年生 ,ALL
実践日本語表現＜2＞,土居　奈生子,前期　水曜日　４時限,１年生 ,ALL
実践日本語表現＜3＞,土居　奈生子,前期　金曜日　１時限,１年生 ,ALL
実践日本語表現＜4＞,土居　奈生子,前期　金曜日　２時限,１年生 ,ALL
実践日本語表現＜5＞,稲生　知子,前期　木曜日　１時限,１年生 ,ALL
実践日本語表現＜6＞,小橋　孝子,前期　月曜日　５時限,１年生 ,ALL
実践日本語表現＜7＞,松野　彩,前期　火曜日　３時限,１年生 ,ALL
実践日本語表現＜8＞,土居　奈生子,後期　水曜日　３時限,１年生 ,ALL
実践日本語表現＜9＞,土居　奈生子,後期　水曜日　４時限,１年生 ,ALL
実践日本語表現＜10＞,土居　奈生子,後期　金曜日　１時限,１年生 ,ALL
実践日本語表現＜11＞,土居　奈生子,後期　金曜日　２時限,１年生 ,ALL
実践日本語表現＜12＞,稲生　知子,後期　木曜日　１時限,１年生 ,ALL
実践日本語表現＜13＞,小橋　孝子,後期　月曜日　５時限,１年生 ,ALL
実践日本語表現＜14＞,松野　彩,後期　火曜日　３時限,１年生 ,ALL
実践日本語表現＜15＞,新村　衣里子,後期　月曜日　３時限,１年生 ,ALL
古典に学ぶ日本語表現＜2＞,稲生　知子,前期　水曜日　１時限,１年生 ,ALL
古典に学ぶ日本語表現＜4＞,稲生　知子,後期　水曜日　１時限,１年生 ,ALL
テーマ別日本語表現（俳句作りをたのしむ）,高田　正子,前期　金曜日　３時限,２年生 ,ALL
テーマ別日本語表現（源氏物語を読む）,木谷　眞理子,後期　木曜日　５時限,２年生 ,ALL
テーマ別日本語表現（話し方を磨く）,山﨑　広子,前期　水曜日　３時限,２年生 ,ALL
日本企業の現状と展望,北川　浩,後期　水曜日　５時限,２年生 ,ALL
情報基礎＜332＞,飯塚　邦彦,前期　月曜日　３時限,１年生 ,ALL
情報活用Ｄ（オフィススペシャリスト講座）,飯塚　邦彦,後期　月曜日　３時限,１年生 ,ALL
健康・スポーツ演習Ａ＜1＞【フライングディスク】,伴　好彦,前期　月曜日　１時限,１年生 ,ALL
健康・スポーツ演習Ａ＜2＞【ヨガ】,渡邊　典子,前期　火曜日　１時限,１年生 ,ALL
健康・スポーツ演習Ａ＜3＞【バドミントン】,伴　好彦,前期　月曜日　２時限,１年生 ,ALL
健康・スポーツ演習Ａ＜4＞【太極拳】,渡邊　典子,前期　火曜日　２時限,１年生 ,ALL
健康・スポーツ演習Ａ＜5＞【ニュースポーツ】,稲葉　佳奈子,前期　月曜日　２時限,１年生 ,ALL
健康・スポーツ演習Ａ＜7＞【バドミントン】,伴　好彦,前期　月曜日　３時限,１年生 ,ALL
健康・スポーツ演習Ａ＜8＞【ヨガ】,渡邊　典子,前期　火曜日　３時限,１年生 ,ALL
健康・スポーツ演習Ａ＜9＞【ニュースポーツ】,稲葉　佳奈子,前期　月曜日　３時限,１年生 ,ALL
健康・スポーツ演習Ａ＜10＞【テニス】,和田　太一,前期　月曜日　３時限,１年生 ,ALL
健康・スポーツ演習Ａ＜11＞【テニス】,相良　康介,前期　火曜日　１時限,１年生 ,ALL
健康・スポーツ演習Ａ＜12＞【フィットネス・トレーニング】,柳田　尚子,前期　木曜日　１時限,１年生 ,ALL
